Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
wheel-omni-100,"Omni Wheel, 100 mm","<p>Rollers on the rim let the wheel slide sideways freely — three or four give a holonomic base without steering motors.</p><ul><li>Aluminium hub, not moulded plastic</li><li>Standard hex or bolt-circle bore</li><li>Non-marking compound</li><li>Matched sets available</li></ul><h3>Wheel</h3><table><tr><th>Diameter</th><td>100 mm</td></tr><tr><th>Type</th><td>Omni</td></tr><tr><th>Tread</th><td>Non-marking rubber</td></tr><tr><th>Hub</th><td>Machined aluminium</td></tr></table><h3>Fitment</h3><table><tr><th>Bore</th><td>1/2 in hex or M8 bolt circle</td></tr><tr><th>Load rating</th><td>25 kg per wheel</td></tr></table>",MABEL Robotics,,wheels,"base,omni",TRUE,Title,Default Title,MR-WHL-100,shopify,continue,manual,24.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/wheel-omni-100.svg,"Omni Wheel, 100 mm",active
wheel-mecanum-152,"Mecanum Wheel, 152 mm","<p>Angled rollers turn four independent wheels into full planar motion. Sold as a handed set of four.</p><ul><li>Aluminium hub, not moulded plastic</li><li>Standard hex or bolt-circle bore</li><li>Non-marking compound</li><li>Matched sets available</li></ul><h3>Wheel</h3><table><tr><th>Diameter</th><td>152 mm</td></tr><tr><th>Type</th><td>Mecanum</td></tr><tr><th>Tread</th><td>Non-marking rubber</td></tr><tr><th>Hub</th><td>Machined aluminium</td></tr></table><h3>Fitment</h3><table><tr><th>Bore</th><td>1/2 in hex or M8 bolt circle</td></tr><tr><th>Load rating</th><td>25 kg per wheel</td></tr></table>",MABEL Robotics,,wheels,"base,mecanum",TRUE,Title,Default Title,MR-WHL-152,shopify,continue,manual,59.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/wheel-mecanum-152.svg,"Mecanum Wheel, 152 mm",active
hub-motor-8,"Hub Drive Motor, 8 in","<p>Motor and wheel in one part. Nothing to align, nothing to tension — for differential bases where simplicity beats holonomy.</p><ul><li>Direct drive, no gearbox to service</li><li>Hall sensors for smooth low-speed commutation</li><li>Regenerative braking with a suitable controller</li><li>Two make a differential base</li></ul><h3>Performance</h3><table><tr><th>Diameter</th><td>203 mm (8 in)</td></tr><tr><th>Rated power</th><td>250 W</td></tr><tr><th>Supply</th><td>24–36 V DC</td></tr><tr><th>Rated torque</th><td>12 N·m</td></tr></table><h3>Feedback</h3><table><tr><th>Sensors</th><td>3 × Hall</td></tr><tr><th>Controller</th><td>External BLDC/FOC required</td></tr></table>",MABEL Robotics,,wheels,"base,differential",TRUE,Title,Default Title,MR-WHL-HUB8,shopify,continue,manual,129.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/hub-motor-8.svg,"Hub Drive Motor, 8 in",active
belt-pulley-set,HTD-5M Belt & Pulley Set,"<p>The transmission side of a swerve module or a belt-driven arm joint: matched HTD-5M belts, aluminium pulleys in the common tooth counts, and idlers to take up slack.</p><ul><li>HTD-5M profile — the standard for robot drivetrains</li><li>Pulleys in 15T, 18T, 24T, 36T and 60T</li><li>Closed-loop belts in five lengths</li><li>Bearing idlers for tensioning</li></ul><h3>Contents</h3><table><tr><th>Belt profile</th><td>HTD-5M, 15 mm wide</td></tr><tr><th>Belt lengths</th><td>150 · 225 · 300 · 375 · 450 mm</td></tr><tr><th>Pulleys</th><td>15T · 18T · 24T · 36T · 60T, aluminium</td></tr><tr><th>Idlers</th><td>2 × sealed-bearing</td></tr></table><h3>Fitment</h3><table><tr><th>Bore</th><td>8 mm with M4 set screws</td></tr><tr><th>Flanges</th><td>Both sides on all pulleys</td></tr></table>",MABEL Robotics,,wheels,"base,transmission",TRUE,Title,Default Title,MR-WHL-HTD5,shopify,continue,manual,44.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/belt-pulley-set.svg,HTD-5M Belt & Pulley Set,active
screw-set-metric,"Metric Fastener Set, M2–M6","<p>The set you actually reach for. Socket-head cap screws from M2 to M6 in the lengths a robot needs, with matching nuts and washers, in a case with dividers that stay put.</p><ul><li>A2 stainless throughout — no rust on a robot that lives near a sink</li><li>M2, M2.5, M3, M4, M5, M6 in 6–30 mm lengths</li><li>Nyloc nuts and flat washers to match every size</li><li>Latching case with fixed dividers</li></ul><h3>Contents</h3><table><tr><th>Screws</th><td>M2–M6 socket head cap, 6–30 mm</td></tr><tr><th>Nuts</th><td>Nyloc and plain hex, M2–M6</td></tr><tr><th>Washers</th><td>Flat and split, M2–M6</td></tr><tr><th>Total pieces</th><td>≈ 1 200</td></tr></table><h3>Material</h3><table><tr><th>Grade</th><td>A2 / 304 stainless</td></tr><tr><th>Drive</th><td>Hex socket</td></tr><tr><th>Thread</th><td>Coarse, ISO metric</td></tr></table>",MABEL Robotics,,hardware,"mabel,fasteners,stainless",TRUE,Title,Default Title,MR-HW-SCRW,shopify,continue,manual,19.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/screw-set-metric.svg,"Metric Fastener Set, M2–M6",active
heatset-insert-kit,"Heat-Set Insert Kit, M2–M5","<p>Threads in printed plastic that survive being taken apart. Knurled brass inserts melt into the print and give you a real machine thread — the single biggest upgrade to a 3D-printed robot's serviceability.</p><ul><li>M2, M2.5, M3, M4 and M5 in short and long forms</li><li>Matched soldering-iron tips for each size — the part most kits leave out</li><li>Knurled and barbed so they resist both pull-out and rotation</li><li>500 inserts, enough for a whole robot</li></ul><h3>Contents</h3><table><tr><th>Inserts</th><td>M2 · M2.5 · M3 · M4 · M5, two lengths each</td></tr><tr><th>Quantity</th><td>500 pieces</td></tr><tr><th>Tips</th><td>5 installation tips, M3 iron thread</td></tr></table><h3>Material</h3><table><tr><th>Insert</th><td>Brass, knurled and barbed</td></tr><tr><th>Working temperature</th><td>200–250 °C</td></tr></table>",MABEL Robotics,,hardware,"3d-printing,fasteners",TRUE,Title,Default Title,MR-HW-INSRT,shopify,continue,manual,24.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/heatset-insert-kit.svg,"Heat-Set Insert Kit, M2–M5",active
extrusion-2020,"Aluminium Extrusion, 20×20","<p>The default frame stock. Light, stiff enough for most robot structure, and every bracket in the world fits it.</p><ul><li>Cut to your length, ±0.5 mm, ends faced square</li><li>6063-T5, clear anodised</li><li>T-slot on every face</li><li>Priced per 100 mm — order the length you need</li></ul><h3>Profile</h3><table><tr><th>Section</th><td>20 × 20 mm</td></tr><tr><th>Slot width</th><td>6 mm</td></tr><tr><th>Alloy</th><td>6063-T5</td></tr><tr><th>Finish</th><td>Clear anodised</td></tr></table><h3>Supply</h3><table><tr><th>Cut tolerance</th><td>±0.5 mm</td></tr><tr><th>Ends</th><td>Faced square</td></tr><tr><th>Priced</th><td>Per 100 mm</td></tr><tr><th>Maximum length</th><td>2 000 mm</td></tr></table>",MABEL Robotics,,hardware,"frame,extrusion",TRUE,Title,Default Title,MR-HW-2020,shopify,continue,manual,12.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/extrusion-2020.svg,"Aluminium Extrusion, 20×20",active
extrusion-2040,"Aluminium Extrusion, 20×40","<p>Twice the section modulus in the direction that matters. For gantry beams and cantilevered arms.</p><ul><li>Cut to your length, ±0.5 mm, ends faced square</li><li>6063-T5, clear anodised</li><li>T-slot on every face</li><li>Priced per 100 mm — order the length you need</li></ul><h3>Profile</h3><table><tr><th>Section</th><td>20 × 40 mm</td></tr><tr><th>Slot width</th><td>6 mm</td></tr><tr><th>Alloy</th><td>6063-T5</td></tr><tr><th>Finish</th><td>Clear anodised</td></tr></table><h3>Supply</h3><table><tr><th>Cut tolerance</th><td>±0.5 mm</td></tr><tr><th>Ends</th><td>Faced square</td></tr><tr><th>Priced</th><td>Per 100 mm</td></tr><tr><th>Maximum length</th><td>2 000 mm</td></tr></table>",MABEL Robotics,,hardware,"frame,extrusion",TRUE,Title,Default Title,MR-HW-2040,shopify,continue,manual,24.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/extrusion-2040.svg,"Aluminium Extrusion, 20×40",active
extrusion-1010,"Aluminium Extrusion, 1×1 in","<p>Imperial 1010-series, for frames that have to bolt to imperial hardware.</p><ul><li>Cut to your length, ±0.5 mm, ends faced square</li><li>6063-T5, clear anodised</li><li>T-slot on every face</li><li>Priced per 100 mm — order the length you need</li></ul><h3>Profile</h3><table><tr><th>Section</th><td>25.4 × 25.4 mm (1010)</td></tr><tr><th>Slot width</th><td>8 mm</td></tr><tr><th>Alloy</th><td>6063-T5</td></tr><tr><th>Finish</th><td>Clear anodised</td></tr></table><h3>Supply</h3><table><tr><th>Cut tolerance</th><td>±0.5 mm</td></tr><tr><th>Ends</th><td>Faced square</td></tr><tr><th>Priced</th><td>Per 100 mm</td></tr><tr><th>Maximum length</th><td>2 000 mm</td></tr></table>",MABEL Robotics,,hardware,"frame,extrusion",TRUE,Title,Default Title,MR-HW-1010,shopify,continue,manual,16.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/extrusion-1010.svg,"Aluminium Extrusion, 1×1 in",active
extrusion-2x2,"Aluminium Extrusion, 2×2 in","<p>Heavy structural section. MABEL's body frame is built from 2×2 and 2×4 in stock.</p><ul><li>Cut to your length, ±0.5 mm, ends faced square</li><li>6063-T5, clear anodised</li><li>T-slot on every face</li><li>Priced per 100 mm — order the length you need</li></ul><h3>Profile</h3><table><tr><th>Section</th><td>50.8 × 50.8 mm</td></tr><tr><th>Slot width</th><td>8 mm</td></tr><tr><th>Alloy</th><td>6063-T5</td></tr><tr><th>Finish</th><td>Clear anodised</td></tr></table><h3>Supply</h3><table><tr><th>Cut tolerance</th><td>±0.5 mm</td></tr><tr><th>Ends</th><td>Faced square</td></tr><tr><th>Priced</th><td>Per 100 mm</td></tr><tr><th>Maximum length</th><td>2 000 mm</td></tr></table>",MABEL Robotics,,hardware,"mabel,frame,extrusion",TRUE,Title,Default Title,MR-HW-2X2,shopify,continue,manual,49.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/extrusion-2x2.svg,"Aluminium Extrusion, 2×2 in",active
extrusion-brackets,Extrusion Bracket Set,"<p>Everything that joins one piece of extrusion to another: 90° corner brackets, angled joining plates, and the spring T-nuts that let you add a bracket without taking the frame apart.</p><ul><li>90° corner brackets, gusseted</li><li>Angled joining plates for non-square frames</li><li>Spring T-nuts — drop in anywhere along a slot</li><li>Button-head screws sized to the nuts, included</li></ul><h3>Contents</h3><table><tr><th>Corner brackets</th><td>20 × 90°, gusseted</td></tr><tr><th>Angled plates</th><td>20 × adjustable</td></tr><tr><th>T-nuts</th><td>100 × spring-loaded</td></tr><tr><th>Screws</th><td>120 × M5 button head</td></tr></table><h3>Fitment</h3><table><tr><th>Series</th><td>20-series and 1010</td></tr><tr><th>Material</th><td>Die-cast zinc, black</td></tr></table>",MABEL Robotics,,hardware,"mabel,frame,extrusion",TRUE,Title,Default Title,MR-HW-BRKT,shopify,continue,manual,39.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/extrusion-brackets.svg,Extrusion Bracket Set,active
bearing-set,Deep-Groove Bearing Set,"<p>The four bearing sizes that show up again and again in robot joints, idlers and tensioners, in rubber-sealed ABEC-3 grade. Twenty of each.</p><ul><li>608, 625, 6800 and 6805, twenty of each</li><li>Rubber-sealed — survives a workshop</li><li>ABEC-3, pre-lubricated</li><li>Chrome steel races</li></ul><h3>Sizes</h3><table><tr><th>608-2RS</th><td>8 × 22 × 7 mm</td></tr><tr><th>625-2RS</th><td>5 × 16 × 5 mm</td></tr><tr><th>6800-2RS</th><td>10 × 19 × 5 mm</td></tr><tr><th>6805-2RS</th><td>25 × 37 × 7 mm</td></tr></table><h3>Specification</h3><table><tr><th>Grade</th><td>ABEC-3</td></tr><tr><th>Seals</th><td>Rubber, both sides</td></tr><tr><th>Material</th><td>GCr15 chrome steel</td></tr><tr><th>Quantity</th><td>80 pieces total</td></tr></table>",MABEL Robotics,,hardware,"bearings,rotation",TRUE,Title,Default Title,MR-HW-BRNG,shopify,continue,manual,34.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/bearing-set.svg,Deep-Groove Bearing Set,active
thin-section-bearing,Crossed-Roller Bearing,"<p>One bearing where a joint would otherwise need three. Rollers alternate at 90°, so a single thin race carries radial load, axial load in both directions, and the overturning moment of a cantilevered link.</p><ul><li>Takes radial, axial and moment load in one race</li><li>Thin section — the joint stays compact</li><li>The standard output bearing for harmonic joints</li><li>Pre-loaded, no shimming needed</li></ul><h3>Bearing</h3><table><tr><th>Type</th><td>Crossed roller, alternating 90°</td></tr><tr><th>Bore</th><td>50 mm</td></tr><tr><th>Outer diameter</th><td>80 mm</td></tr><tr><th>Width</th><td>15 mm</td></tr></table><h3>Rating</h3><table><tr><th>Dynamic load</th><td>12.4 kN</td></tr><tr><th>Tilting rigidity</th><td>Pre-loaded, zero clearance</td></tr><tr><th>Runout</th><td>≤ 0.01 mm</td></tr></table>",MABEL Robotics,,hardware,"bearings,joint,harmonic",TRUE,Title,Default Title,MR-HW-XSEC,shopify,continue,manual,89.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/thin-section-bearing.svg,Crossed-Roller Bearing,active
linear-rail-mgn12,Linear Rail MGN12 + Carriage,"<p>Stiff, low-friction linear motion. Recirculating balls in a hardened steel rail — the guide that makes a printed linear axis behave like a machine tool.</p><ul><li>MGN12H carriage with four ball circuits</li><li>Hardened and ground rail, ±0.02 mm straightness</li><li>Cut to length with mounting holes on 25 mm centres</li><li>Pre-lubricated, with wipers on both ends</li></ul><h3>Rail</h3><table><tr><th>Series</th><td>MGN12</td></tr><tr><th>Width</th><td>12 mm</td></tr><tr><th>Height</th><td>8 mm</td></tr><tr><th>Hole pitch</th><td>25 mm</td></tr><tr><th>Lengths</th><td>200–1 000 mm</td></tr></table><h3>Carriage</h3><table><tr><th>Type</th><td>MGN12H, long body</td></tr><tr><th>Dynamic load</th><td>3.4 kN</td></tr><tr><th>Static load</th><td>5.7 kN</td></tr><tr><th>Accuracy</th><td>±0.02 mm straightness</td></tr></table>",MABEL Robotics,,hardware,"linear,gantry",TRUE,Title,Default Title,MR-HW-MGN12,shopify,continue,manual,44.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/linear-rail-mgn12.svg,Linear Rail MGN12 + Carriage,active
leadscrew-t8,T8 Lead Screw & Anti-Backlash Nut,"<p>Turns rotation into a lift that holds itself up. A 2 mm lead is self-locking, so the axis stays where you left it when the motor is off.</p><ul><li>Self-locking at 2 mm lead — no brake needed</li><li>Spring-loaded anti-backlash nut</li><li>Stainless screw, POM nut</li><li>Cut to length, ends turned for a bearing</li></ul><h3>Screw</h3><table><tr><th>Diameter</th><td>8 mm</td></tr><tr><th>Lead</th><td>2 mm/rev</td></tr><tr><th>Thread</th><td>Trapezoidal Tr8</td></tr><tr><th>Material</th><td>304 stainless</td></tr><tr><th>Lengths</th><td>200–1 000 mm</td></tr></table><h3>Nut</h3><table><tr><th>Type</th><td>Anti-backlash, spring preloaded</td></tr><tr><th>Material</th><td>POM</td></tr><tr><th>Flange</th><td>Ø 22 mm, 3 × M3</td></tr></table>",MABEL Robotics,,hardware,"linear,lift",TRUE,Title,Default Title,MR-HW-T8,shopify,continue,manual,24.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/leadscrew-t8.svg,T8 Lead Screw & Anti-Backlash Nut,active
magnet-set,Neodymium Magnet Set,"<p>How MABEL's covers stay on and still come off in a second. N52 discs in three sizes, sized to press-fit into a printed pocket.</p><ul><li>N52 — the strongest commercial grade</li><li>6, 8 and 10 mm discs, nickel plated</li><li>Press-fit into a 0.1 mm interference pocket</li><li>Comes with steel keeper plates</li></ul><h3>Magnets</h3><table><tr><th>Grade</th><td>N52 neodymium</td></tr><tr><th>Sizes</th><td>6×3 · 8×3 · 10×3 mm</td></tr><tr><th>Quantity</th><td>60 pieces</td></tr><tr><th>Plating</th><td>Ni-Cu-Ni</td></tr></table><h3>Notes</h3><table><tr><th>Max temperature</th><td>80 °C</td></tr><tr><th>Pull force</th><td>1.1 kg at 8×3 mm</td></tr></table>",MABEL Robotics,,hardware,"mabel,covers",TRUE,Title,Default Title,MR-HW-MAGN,shopify,continue,manual,16.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/magnet-set.svg,Neodymium Magnet Set,active
openarm-structure,OpenArm Structural Set,"<p>Every structural part for a pair of 7-DOF OpenArm arms, machined from 7075 aluminium with sheet-steel brackets where stiffness matters more than mass. The parts the DAMIAO joints bolt into.</p><ul><li>Complete dual-arm set — links, brackets, covers, hardware</li><li>7075-T6 CNC for the links, sheet steel for the shoulder brackets</li><li>Bores reamed to the joint flanges, no fitting required</li><li>Matches the published OpenArm geometry</li></ul><h3>Material</h3><table><tr><th>Links</th><td>7075-T6 aluminium, CNC</td></tr><tr><th>Brackets</th><td>Sheet steel, laser cut and bent</td></tr><tr><th>Finish</th><td>Clear anodised / powder coat</td></tr></table><h3>Contents</h3><table><tr><th>Coverage</th><td>Both arms, 7 DOF each</td></tr><tr><th>Fasteners</th><td>Included, sized per joint</td></tr><tr><th>Bore tolerance</th><td>H7 at every joint flange</td></tr></table>",MABEL Robotics,,hardware,"mabel,arm,openarm,machined",TRUE,Title,Default Title,MR-HW-OARM,shopify,continue,manual,549.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/openarm-structure.svg,OpenArm Structural Set,active
mabel-base-lower,"MABEL Base Plate, Lower","<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>Laser cut, no secondary operations</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>Laser cut, no secondary operations</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-BASELOWER,shopify,continue,manual,74.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-base-lower.svg,"MABEL Base Plate, Lower",active
mabel-base-upper,"MABEL Base Plate, Upper","<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>4 bends · dimple forming · hardware insertion · tapping</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>4 bends · dimple forming · hardware insertion · tapping</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-BASEUPPER,shopify,continue,manual,279.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-base-upper.svg,"MABEL Base Plate, Upper",active
mabel-lift-adapter,MABEL Lift-to-Torso Adapter,"<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>2 bends · dimple forming · hardware insertion · tapping</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>2 bends · dimple forming · hardware insertion · tapping</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-LIFTADAPTER,shopify,continue,manual,84.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-lift-adapter.svg,MABEL Lift-to-Torso Adapter,active
mabel-torso-plate,MABEL Torso Output Plate,"<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>1 bend · hardware insertion · tapping</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>1 bend · hardware insertion · tapping</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-TORSOPLATE,shopify,continue,manual,79.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-torso-plate.svg,MABEL Torso Output Plate,active
mabel-body-bottom,MABEL Body Bottom Plate,"<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>2 bends · hardware insertion · tapping</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>2 bends · hardware insertion · tapping</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-BODYBOTTOM,shopify,continue,manual,49.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-body-bottom.svg,MABEL Body Bottom Plate,active
mabel-arm-plate,MABEL Arm Mounting Plate,"<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>Hardware insertion · tapping</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>Hardware insertion · tapping</td></tr><tr><th>Quantity per robot</th><td>2 (one per arm)</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-ARMPLATE,shopify,continue,manual,18.99,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-arm-plate.svg,MABEL Arm Mounting Plate,active
mabel-neck-plate,MABEL Neck Mounting Plate,"<p>A structural part from MABEL's own build, cut from the same files the robot ships with. Ordered as one part or in the quantity a full robot needs.</p><ul><li>2 bends</li><li>Cut from the released MABEL DXF</li><li>Volume pricing from 1 to 1 000 off</li><li>Hardware pressed in before it ships</li></ul><h3>Manufacture</h3><table><tr><th>Process</th><td>Laser cut sheet metal</td></tr><tr><th>Operations</th><td>2 bends</td></tr><tr><th>Quantity per robot</th><td>1</td></tr></table><h3>Material</h3><table><tr><th>Stock</th><td>Aluminium or mild steel, per drawing</td></tr><tr><th>Finish</th><td>Mill, anodised or powder coat</td></tr><tr><th>Tolerance</th><td>±0.2 mm cut, ±0.5° bend</td></tr></table>",MABEL Robotics,,hardware,"mabel,machined,structure",TRUE,Title,Default Title,MR-HW-NECKPLATE,shopify,continue,manual,44.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/mabel-neck-plate.svg,MABEL Neck Mounting Plate,active
orca-hand-kit,ORCA Hand Structural Kit,"<p>Everything an ORCA hand needs that is not a servo: printed and machined finger frames, the Dyneema tendon, routing pulleys, tensioners, bearings and fingertip pads. One kit builds one 17-DOF hand.</p><ul><li>17 DOF — 16 finger joints plus a wrist</li><li>Dyneema tendon, pre-cut and terminated</li><li>Routing pulleys on bearings, not bushings</li><li>Silicone fingertip pads, moulded</li></ul><h3>Contents</h3><table><tr><th>Coverage</th><td>One complete hand, less servos</td></tr><tr><th>Degrees of freedom</th><td>17 (16 finger + 1 wrist)</td></tr><tr><th>Tendon</th><td>Dyneema SK99, 0.8 mm, pre-terminated</td></tr><tr><th>Pulleys</th><td>Bearing-mounted, 24 off</td></tr></table><h3>Requires</h3><table><tr><th>Servos</th><td>16 × HL3915M + 1 × HL3930M, sold separately</td></tr><tr><th>Driver</th><td>ST/SC bus driver board and 5264 splitter</td></tr></table>",MABEL Robotics,,hardware,"mabel,orca,hand,tendon",TRUE,Title,Default Title,MR-HW-ORCA,shopify,continue,manual,319.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/orca-hand-kit.svg,ORCA Hand Structural Kit,active
tendon-dyneema,Dyneema Tendon Line,"<p>The line that moves a tendon-driven finger. Dyneema SK99 barely creeps under load, which is what keeps a hand calibrated between sessions.</p><ul><li>SK99 — the lowest-creep grade available</li><li>0.8 mm, 90 kg breaking strain</li><li>Pre-stretched at the factory</li><li>25 m: enough to re-tendon a hand several times</li></ul><h3>Line</h3><table><tr><th>Material</th><td>Dyneema SK99, 12-strand</td></tr><tr><th>Diameter</th><td>0.8 mm</td></tr><tr><th>Breaking strain</th><td>90 kg</td></tr><tr><th>Length</th><td>25 m</td></tr></table><h3>Behaviour</h3><table><tr><th>Creep</th><td>Pre-stretched, minimal</td></tr><tr><th>Elongation at break</th><td>< 3.5%</td></tr></table>",MABEL Robotics,,hardware,"orca,hand,tendon",TRUE,Title,Default Title,MR-HW-TNDN,shopify,continue,manual,24.00,TRUE,TRUE,https://robotmabel.github.io/store/assets/img/products/tendon-dyneema.svg,Dyneema Tendon Line,active
